x_w,y_w,z_w,x_img,y_img
0.0,0.0,0.0,197.02638,328.5431
20.0,0.0,0.0,209.90607,287.19135
40.0,0.0,0.0,223.04529,246.69891
60.0,0.0,0.0,235.749,208.50911
80.0,0.0,0.0,248.32812,172.18303
100.0,0.0,0.0,260.63873,137.68285
120.0,0.0,0.0,272.3971,105.498
0.0,20.0,0.0,235.35718,338.7629
20.0,20.0,0.0,247.94786,295.75125
40.0,20.0,0.0,260.59964,254.46184
60.0,20.0,0.0,273.30807,214.45245
80.0,20.0,0.0,285.18115,177.08664
100.0,20.0,0.0,296.48145,141.69705
120.0,20.0,0.0,307.7247,108.382835
0.0,40.0,0.0,276.8669,349.24094
20.0,40.0,0.0,289.16248,304.80563
40.0,40.0,0.0,301.04785,262.0377
60.0,40.0,0.0,313.22626,220.97003
80.0,40.0,0.0,324.36545,182.30707
100.0,40.0,0.0,335.13208,145.78882
120.0,40.0,0.0,344.94873,112.25663
0.0,60.0,0.0,321.0128,359.7385
20.0,60.0,0.0,332.55573,314.10876
40.0,60.0,0.0,343.8814,270.03006
60.0,60.0,0.0,355.26526,227.82095
80.0,60.0,0.0,365.43808,188.25327
100.0,60.0,0.0,375.09863,150.73451
120.0,60.0,0.0,384.02173,115.858536
0.0,80.0,0.0,367.16278,370.4161
20.0,80.0,0.0,378.29245,323.50104
40.0,80.0,0.0,388.8118,278.33115
60.0,80.0,0.0,399.14868,235.02777
80.0,80.0,0.0,408.15396,194.40016
100.0,80.0,0.0,416.54272,156.40695
120.0,80.0,0.0,424.2298,120.615845
0.0,100.0,0.0,415.09024,380.6484
20.0,100.0,0.0,425.56918,332.79742
40.0,100.0,0.0,435.17526,286.78915
60.0,100.0,0.0,444.3028,242.66418
80.0,100.0,0.0,452.02637,201.1399
100.0,100.0,0.0,459.14886,162.35391
120.0,100.0,0.0,465.25787,126.09088
